id,name,degree,peel,diversity,betweenness,pagerank,norm_peel,norm_diversity,norm_betweenness,norm_pagerank
121,Chiswyck,13,12,0.8981370031878679,4.277256166433589e-05,0.0007158031625352929,0.9230769230769231,0.3641536181176442,0.00022263505275926449,0.020054011465394747
122,Clarence Crabb,1,1,-0.0,0.0,0.0002364560103622878,0.07692307692307693,-0.0,0.0,0.006624574730951987
123,Clayton Suggs,3,3,0.6365141682948128,0.0,0.0004310881135939549,0.23076923076923078,0.2580774832180193,0.0,0.012077406785950486
124,Clement Piper,2,2,0.6931471805599453,0.0,0.0003293094587379289,0.15384615384615385,0.28103958838465737,0.0,0.009225966029268211
125,Cleon,3,2,1.0986122886681096,1.9111316578167016e-05,0.000513621920823083,0.15384615384615385,0.44543720880779086,9.947613163947923e-05,0.01438968200780522
126,Cleos Frey,7,7,-0.0,1.953312003627843e-05,0.0010925430862816893,0.5384615384615384,-0.0,0.00010167165679618212,0.03060879404489986
127,Cletus Yronwood,5,4,1.3321790402101223,0.0007870118326282046,0.0006265530599645651,0.3076923076923077,0.540137880692053,0.004096467783584789,0.017553571855849454
128,Cley Cerwyn,3,3,0.6365141682948128,0.0,0.00033901400241595747,0.23076923076923078,0.2580774832180193,0.0,0.00949784947484605
129,Clubfoot Karl,2,2,-0.0,0.0,0.0002924284522708221,0.15384615384615385,-0.0,0.0,0.0081927041421217
130,Clydas,7,6,1.4750763110546947,0.00022216020347470695,0.0012155139831251788,0.46153846153846156,0.5980762108270862,0.001156363956167746,0.03405395872742894
131,Cohollo,4,4,1.0397207708399179,0.0,0.0005637345203651587,0.3076923076923077,0.421559382576986,0.0,0.015793641501666737
132,Coldhands,4,4,0.5623351446188083,1.5902248510764712e-05,0.0003735529665720133,0.3076923076923077,0.2280012701634715,8.277264204956538e-05,0.01046549647536381
133,Colemon,6,4,1.0114042647073518,0.00011464658991256171,0.0006540058916649144,0.3076923076923077,0.41007832999366706,0.0005967458716678957,0.01832269307588767
134,Colen of Greenpools,2,2,-0.0,0.0,0.0002811370785789267,0.15384615384615385,-0.0,0.0,0.007876363911554248
135,Conn,3,2,1.0986122886681096,0.002515723270440252,0.0006956911423711531,0.15384615384615385,0.44543720880779086,0.01309456720028955,0.019490551139883787
136,Coratt,1,1,-0.0,0.0,0.00033622773405756563,0.07692307692307693,-0.0,0.0,0.009419789107793534
137,Corliss Penny,1,1,-0.0,0.0,0.00022192374442751037,0.07692307692307693,-0.0,0.0,0.006217437346084923
138,Cortnay Penrose,7,6,1.1537419427010902,0.0006603396134617365,0.000699724909185828,0.46153846153846156,0.46778977073367395,0.0034371274237864537,0.019603561545794408
139,Cotter Pyke,10,8,0.9404479886553263,0.0002595241686577349,0.000973969420767068,0.6153846153846154,0.38130879420927566,0.0013508467749687252,0.027286822625687452
140,Craster,15,8,1.5226999259857523,0.0038942228313895515,0.0027087917519272673,0.6153846153846154,0.6173854160189788,0.020269782117016594,0.07588977486228662
141,Creighton Longbough,3,2,0.6365141682948128,2.560382865501444e-05,0.0008112503282473376,0.15384615384615385,0.2580774832180193,0.00013327024432584485,0.022728068602484306
142,Cressen,9,7,1.464816384890813,0.0003525106220692954,0.0012791629889616304,0.5384615384615384,0.5939162784103879,0.0018348496767271484,0.0358371555049959
143,Cromm,2,2,-0.0,0.0,0.0005260473353047913,0.15384615384615385,-0.0,0.0,0.014737793636141555
144,Cutjack,3,1,0.6365141682948128,0.005028278123663324,0.0011035526581192137,0.07692307692307693,0.2580774832180193,0.026172642502341956,0.0309172392871321
145,Daario Naharis,19,8,1.4832209601189685,0.00546822908953923,0.0027844194583991166,0.6153846153846154,0.601378494793259,0.028462627078620958,0.07800856808934672
146,Dacey Mormont,3,3,0.6365141682948128,0.0,0.00032310228787881,0.23076923076923078,0.2580774832180193,0.0,0.009052065322912648
147,Daemon Sand,2,2,0.6931471805599453,0.0,0.0002566724105917805,0.15384615384615385,0.28103958838465737,0.0,0.007190959378590738
148,Daenerys Targaryen,73,9,2.1817700818790873,0.11841801916269194,0.02230688198724801,0.6923076923076923,0.8846083241165702,0.6163765020862905,0.6249517891832768
149,Daeron I Targaryen,1,1,-0.0,0.0,0.00023472740037977852,0.07692307692307693,-0.0,0.0,0.006576145824483264
150,Daeron II Targaryen,2,2,0.6931471805599453,0.0012467625016664258,0.0002574791083768688,0.15384615384615385,0.28103958838465737,0.006489511605946669,0.0072135599026984685
151,Dagmer,5,5,1.0549201679861442,0.00014397106430285588,0.0006089294626780248,0.38461538461538464,0.4277220453381901,0.0007493824136233543,0.017059827429247606
152,Dalbridge,3,3,1.0986122886681096,0.0,0.00036631204636857623,0.23076923076923078,0.44543720880779086,0.0,0.010262634146193007
153,Dalla,6,6,1.242453324894,3.511508093283836e-05,0.0007533428816005369,0.46153846153846156,0.5037581927885527,0.00018277717283991658,0.021105727909166372
154,Damon Dance for Me,5,4,1.3321790402101223,9.346830790678514e-06,0.0007748894815592181,0.3076923076923077,0.540137880692053,4.865109979956443e-05,0.021709379562619865
155,Dancy,1,1,-0.0,0.0,0.0002756024014843695,0.07692307692307693,-0.0,0.0,0.007721303856331265
156,Danwell Frey,3,2,0.6365141682948128,0.0010469813075417876,0.0005119442342877438,0.15384615384615385,0.2580774832180193,0.00544963241789855,0.014342679777616872
157,Dareon,6,5,1.242453324894,0.003075871877277579,0.0009306191495229306,0.38461538461538464,0.5037581927885527,0.01601019137110558,0.026072317183327046
158,Daryn Hornwood,2,2,0.6931471805599453,0.0,0.0003104752873076881,0.15384615384615385,0.28103958838465737,0.0,0.008698306038963773
159,Daven Lannister,3,3,1.0986122886681096,0.0,0.00039654994954162095,0.23076923076923078,0.44543720880779086,0.0,0.011109782201216915
160,Davos Seaworth,33,7,2.1201737792007354,0.023846811266965404,0.007860804907798046,0.5384615384615384,0.8596338309118853,0.12412480987754042,0.22022907972335312
161,Denyo Terys,2,2,0.6931471805599453,0.0,0.00038006760801206983,0.15384615384615385,0.28103958838465737,0.0,0.01064801130761057
162,Denys Darklyn,1,1,-0.0,0.0,0.00024143435482056692,0.07692307692307693,-0.0,0.0,0.006764048516582391
